EID,InvestorEID,SameProvince,Sharehold,InvestRegYear,InvestCloseYear
"502905914","2107295058","0","0.108","1999",""
"264617018","959058088","0","1","2003",""
"1259279957","1430553242","0","0.16","2008",""
"27009867","1569733197","0","1","2001",""
"752788591","1956090542","0","0.54","2010",""
"652584269","1013964647","0","0.5","1997",""
"1383036110","1245158510","0","0.471","2007",""
"542352620","1326322969","0","1","2008",""
"329610120","1093675993","0","0.1","2015",""
"1117366427","2004536840","0","0.143","2015",""
"118015659","1861014796","0","0.013","2005",""
"549775620","13474148","0","0.4","2011",""
"224746844","4982311","0","0.25","2014",""
"1013502751","1285399067","0","0.7","2008",""
"531628535","921972584","0","0.49","2015",""
"1313091991","311050915","0","0.073","2004",""
"628340938","693326683","0","0.49","2001",""
"1137766017","929871969","0","1","2008",""
"533442927","1717646631","0","0","2013",""
"1352543523","203855517","0","0.039","2011",""
"435620508","1859756544","0","0.093","2012",""
"197022895","794782544","0","0.5","2008",""
"1318352422","1451675144","0","1","2013",""
"156314062","1599738813","0","0.3","2008",""
"255959579","1102297902","0","0.038","2008",""
"912114873","1417849792","0","0.25","2013",""
"726591778","1026788832","0","0.01","2007",""
"1384502942","1122307838","1","1","2013",""
"814835637","1197362886","1","0.51","2015",""
"672475598","1523626295","1","0.3","2004",""
"421301875","1979435016","1","1","2007",""
"408398958","408398958","1","1","1993",""
"25029000","274639985","1","0.75","1989",""
"498890035","140815468","1","0.097","1986",""
"69229402","127488910","1","0","2003",""
"99584690","598693051","1","1","2011",""
"732583094","732583094","1","1","1996",""
"1393283797","732583093","1","0","2004",""
"1323915288","866473147","1","1","2009",""
"1298547627","1134253238","1","0.5","2003",""
"873835332","873835332","1","1","1993",""
"873900869","873900869","1","1","1991",""
"873835335","873835335","1","1","1986",""
"874228560","874228560","1","1","2001",""
"1258255109","1768699371","1","0.06","2013",""
"1040812266","1769027050","1","0.1","2014",""
"248751569","429995499","1","1","2014",""
"1295002922","2142989760","1","0.333","1998",""
"1437790400","2009034182","1","0.3","2013",""
"117386250","1741516225","1","0.7","1998",""
"791109190","1741254077","1","0.02","2014",""
"758429925","1741319622","1","1","2014",""
"1358347269","973180034","1","0.33","2014",""
"783787271","705006721","1","1","2010",""
"342080764","437619844","1","0.333","2000",""
"286160414","437750924","1","0.9","2000",""
"1064659055","303533186","1","0.49","2010",""
"1456120347","303729794","1","0.51","2004",""
"169446531","169446531","1","1","1989",""
"1043329998","169643135","1","1","2014",""
"751313846","167933092","1","0.2","2010",""
"158150574","569537699","1","1","2006",""
"1438485342","1438485342","1","1","1992",""
"1304595292","1304595292","1","1","1986",""
"1451891156","1472026081","1","0.8","2013",""
"158996419","1739412957","1","0.04","2005",""
"1304713243","1739740642","1","0.047","2011",""
"140735663","1739740642","1","0.136","2011",""
"953301343","1873761756","1","1","2015",""
"1323915288","764450","1","0.9","2008",""
"197022895","717081983","1","1","2010",""
"315149697","315149697","1","0.227","1993",""
"181063042","181063042","1","1","1981",""
"220541570","220541570","1","1","1992",""
"740404048","1787874686","1","0.034","2002",""
"865783793","720835516","1","0.333","2009",""
"621034110","989008828","1","0.4","2015",""
"1001209719","1524306877","1","1","2015",""
"520594410","349891663","1","0.8","2003",""
"185076190","185076190","1","1","1989",""
"218142801","218142801","1","1","1989",""
"783787271","944591072","1","1","2008",""
"837692152","1330800560","1","0.51","2013",""
"162182342","235611062","1","0.85","2014",""
"501293816","1734085092","1","0.6","2015",""
"877019908","7807828","1","0.49","2011",""
"1034836377","1977372902","1","0.1","2011",""
"893100412","1977372902","1","0.3","2011",""
"75919755","1511287478","1","1","2013",""
"576466660","1914047719","1","1","2014",""
"833709994","1557948431","1","0.868","2013",""
"234023105","1914309874","1","1","1989",""
"504716025","411157882","1","0.5","2013",""
"1119384063","1491561148","1","0.3","2011",""
"168272478","1996509414","1","0.545","2014",""
"1193535748","731915185","1","0.3","2014",""
"765019139","328892802","1","1","2011",""
"1409573280","732046267","1","1","1980",""
"436975818","834037674","1","0.86","1989",""
"679030865","720832997","1","0.3","2000",""
"85736059","85736059","1","1","1997",""
"721226210","721226210","1","1","1993",""
"845054339","845054339","1","1","1994",""
"20823233","300538956","1","0.3","2011",""
"1294807183","506226708","1","0.49","2015",""
"1062434293","2025256475","1","0.3","1997",""
"812749381","862784741","1","0.01","2015",""
"1101076190","187465339","1","0.147","2011",""
"999531008","946521472","1","0.6","2012",""
"9812918","947045767","1","1","2015",""
"27468629","1350330294","1","1","2011",""
"936401455","1349937077","1","0.51","2014",""
"1378684135","1378684135","1","0.711","1989",""
"158775978","206863996","1","1","2013",""
"254137040","956000956","1","0.1","2012",""
"563094358","563094358","1","1","1990",""
"1216922627","562832203","1","0.807","2014",""
"657730785","680564042","1","0.68","2015",""
"717172747","276951833","1","1","2011",""
"915002356","902922629","1","0.2","2011",""
"903446918","903446918","1","1","1993",""
"1027979396","663095774","1","0.8","2011",""
"109157018","2113038349","1","0.077","2000",""
"1168369191","2066049719","1","0.014","2012",""
"1418758570","1306731440","1","0.5","2015",""
"80672102","1825764120","1","0.235","2012",""
"468760875","2113169424","1","0.1","2003",""
"925211870","1400817508","1","0.49","2008",""
"1446880492","1400817508","1","0.51","2008",""
"1400620896","1400620896","1","0.667","2001",""
"380770778","118408875","1","0.85","2015",""
"435620508","1804167570","1","1","2015",""
"622324002","118408865","1","0.1","2015",""
"216623515","1400883053","1","0.9","2002",""
"160277482","907378594","1","1","2013",""
"874755999","1821504756","1","0.99","2010",""
"1147513964","147863711","1","0.045","2014",""
"728785012","100612934","1","1","2006",""
"1254174080","1666827938","1","0.413","2011",""
"1258404720","1310794185","1","0.001","2015",""
"1303535007","1197851646","1","0.5","2003",""
"109222556","771647887","1","0.5","2015",""
"1456990538","794304981","1","0.3","2013",""
"975727291","1956842251","1","1","2010",""
"1170196136","1170196136","1","1","1988",""
"752511376","813572565","1","0.95","2014",""
"1008401929","348964706","1","0.1","2004",""
"1043723225","865388386","1","1","2010",""
"297214419","297214419","1","1","1992",""
"1129876173","280139370","1","0.8","2004",""
"988550076","280139370","1","0.2","2004",""
"141826084","2045393922","1","0.89","2009",""
"1307036853","1286337780","1","0.9","2015",""
"483956619","2045721596","1","0.25","2004",""
"1352740137","1442938788","1","1","2012",""
"315018627","1286075639","1","0.697","2009",""
"1307336324","279877220","1","0.7","2007",""
"17683204","1733084161","1","0.1","2015",""
"514451298","119880515","1","1","2013",""
"1427434750","1399083723","1","0.55","1993",""
"1329587957","1783166201","1","1","2014",""
"81341727","1379881675","1","0.51","2011",""
"1178347018","1705363116","1","0.742","2000",""
"630419854","186136734","1","1","2014",""
"1310597587","139148103","1","0.9","2013",""
"1400883053","216623515","1","0.1","2002",""
"288025278","1782641920","1","0.5","2015",""
"1046675120","976597155","1","0.25","2005",""
"387474792","1419548268","1","1","2013",""
"532036813","952842579","1","1","2010",""
"1454827850","1775582022","1","0.1","2015",""
"902584976","595510952","1","0.05","2007",""
"642696190","642696190","1","1","1993",""
"143911172","1326606742","1","0.3","2015",""
"722266270","163938396","1","1","2004",""
"359816906","1307102390","1","0.675","2011",""
"717172747","1662874001","1","0.95","2013",""
"213343802","1065616145","1","0.5","2011",""
"1260917511","500467796","1","1","2011",""
"1097323295","96790054","1","0.083","2005",""
"1119384063","1259982686","1","0.5","2014",""
"598824123","96724529","1","0.5","1991",""
"345088609","306363390","1","0.67","2004",""
"532248485","1451891156","1","1","2014",""
"522426261","1855175690","1","1","2015",""
"143932025","1323915288","1","1","2008",""
"289157273","289157273","1","1","1998",""
"362127248","1855175678","1","0.25","2004",""
"1256014794","517870533","1","0.75","2003",""
"1277057741","1277057741","1","1","1994",""
"449105284","274123959","1","0.449","1993",""
"227069793","274582711","1","1","2014",""
"1033573312","1033573312","1","1","1992",""
"85473916","1793153728","1","1","2009",""
"1186772273","1793350337","1","0.353","2013",""
"147954329","1793088195","1","0.333","2013",""
"1034032070","1034032070","1","0.886","1990",""
"479178904","551712679","1","0.008","2004",""
"782356327","551712679","1","0.03","2004",""
"166670351","551647142","1","1","2014",""
"387999078","1957865445","1","0.094","2006",""
"743213843","1601438477","1","0.65","1996",""
"683356567","2004591930","1","0.55","2014",""
"1278516837","1530663872","1","0.8","2013",""
"562832216","724160348","1","0.45","2007",""
"99874149","35223467","1","0.1","2013",""
"263072923","1957406694","1","0.6","2012",""
"17755202","17755202","1","1","1990",""
"274965872","1144650993","1","0.01","2015",""
"741694147","741694147","1","1","1984",""
"86973762","1471158742","1","0.4","2009",""
"580756097","1067743141","1","0.6","2002",""
"498209721","498209721","1","1","1993",""
"633378791","1470765531","1","0.3","2014",""
"1268556315","498602950","1","0.5","2014",""
"800606629","280834888","1","0.85","1996",""
"1304601217","1490229723","1","1","2001",""
"924689644","1086945194","1","0.51","1994",""
"1036987908","75985292","1","0.49","2014",""
"75461005","75461005","1","1","1993",""
"501463110","1893645310","1","0.413","2010",""
"576466660","327823512","1","1","2014",""
"764560379","764560379","1","1","1984",""
"440491453","764625910","1","0.95","2015",""
"1035641045","1157491780","1","1","2014",""
"1349001674","783596550","1","0.6","1996",""
"172324463","520670778","1","0.05","2004",""
"630390351","1045806378","1","0.15","2006",""
"639714972","1045413167","1","0.036","2005",""
"1055946132","116861970","1","1","2009",""
"894321808","1431229428","1","0.008","2009",""
"15613134","1835038250","1","0.9","2014",""
"659378603","1384371875","1","1","1999",""
"1384371873","1384371873","1","1","1992",""
"908662626","1384568472","1","1","2011",""
"280638283","1318417958","1","1","2013",""
"1047652316","2077867312","1","0.333","2015",""
"1385031487","1813880995","1","1","2001",""
"1285608196","650491767","1","0.51","2014",""
"1137503870","868079255","1","0","1998",""
"927024105","1813815469","1","1","2013",""
"631748464","631748464","1","1","1982",""
"381591443","887674525","1","0.16","1993",""
"115062639","1794285740","1","0.25","2004",""
"802559294","2097724708","1","0.35","2006",""
"1174852286","934925294","1","0.1","1999",""
"887674519","887674519","1","1","1998",""
"678409422","678409422","1","1","1999",""
"1420998858","821720614","1","1","2012",""
"937218750","14823878","1","0.42","2014",""
"774760182","15413705","1","0.51","2015",""
"1088046805","1580973348","1","0.04","1995",""
"675771699","1164919508","1","0.82","2013",""
"704625621","1966986228","1","0.35","2014",""
"1275878032","400771215","1","1","2012",""
"557580968","1920259748","1","1","2015",""
"466598055","1967379451","1","0.49","2014",""
"682575670","1967051771","1","0.167","2014",""
"1034998559","1989018","1","0.067","2011",""
"9812918","804580036","1","1","2015",""
"1122369587","353913662","1","0.51","2015",""
"331772940","1450562551","1","1","1985",""
"652945869","1450562550","1","0.071","2003",""
"824991165","1681146576","1","0.9","2015",""
"1256723385","518281627","1","0.3","2015",""
"829316444","1278058659","1","0.559","1986",""
"731816542","288221881","1","1","2007",""
"1438419807","115193718","1","0.3","2012",""
"401937873","1067200967","1","0.3","2013",""
"140422252","95860592","1","0.09","2000",""
"1359351016","1258856614","1","0.67","2007",""
"1455489527","1873245732","1","1","2012",""
"780844090","499079584","1","0.3","2011",""
"744559931","1470026747","1","1","2014",""
"566630207","1662272210","1","1","1992",""
"1047147523","1943726784","1","0.95","2007",""
"39069193","1540507793","1","1","2009",""
"360327921","784828892","1","1","2008",""
"1188506635","1493388089","1","0.32","2010",""
"793897519","377773913","1","1","2015",""
"1188310023","1188310023","1","1","1985",""
"1000430422","1608931741","1","0.5","1987",""
"870454737","763393574","1","1","2011",""
"1015747795","313251486","1","0.8","2014",""
"559598590","360240123","1","0.42","1993",""
"710011140","763852327","1","0.2","2011",""
"802231614","802231614","1","1","1991",""
"918291164","1523105061","1","1","1989",""
"926384038","360174574","1","1","2014",""
"1405782935","783749890","1","0.15","2003",""
"1139980252","1139980252","1","1","1990",""
"585117509","1169107409","1","1","2014",""
"492734890","6766746","1","1","2014",""
"631224177","40352959","1","0.7","2012",""
"867511548","396714391","1","1","2015",""
"890217708","6307983","1","1","2015",""
"163981663","912679322","1","0.4","1996",""
"913138071","913138071","1","1","1994",""
"1352740137","509656945","1","0.1","2014",""
"69229402","1672390823","1","1","1987",""
"69229402","1835143936","1","0.083","1987",""
"191305764","1835143936","1","0.285","1987",""
"466705826","1653254299","1","0.5","2007",""
"1281769910","1053342912","1","0.35","2011",""
"1319310082","1319310082","1","1","2005",""
"143669894","2125879136","1","1","2008",""
"134720034","559598587","1","0.51","2014",""
"1204245984","603331899","1","1","1997",""
"1119842808","559860729","1","0.75","2011",""
"401232787","1006485350","1","0.1","2012",""
"559598590","1006485351","1","1","1992",""
"1006616423","1006616423","1","1","1981",""
"507540682","138845800","1","1","2014",""
"1427041530","1427041530","1","1","1992",""
"1427238138","138845803","1","1","1982",""
"1024084685","1024084685","1","1","1997",""
"874294091","945283783","1","0.51","2010",""
"1193535748","945349310","1","0.95","2014",""
"61150902","541868174","1","0.65","2015",""
"483978320","20823233","1","0.9","2013",""
"227200872","429449928","1","1","2011",""
"380770778","1592118269","1","0.083","2015",""
"1335206345","1539984077","1","1","2015",""
"300211279","1943399676","1","1","2005",""
"653876246","1278254696","1","1","2011",""
"406609707","1278516837","1","0.011","2012",""
"115979574","115979574","1","1","1990",""
"467462275","1278516844","1","0.417","2001",""
"106569016","115914037","1","0.103","2003",""
"140291192","1278778986","1","0.54","2015",""
"449039755","287829244","1","1","2013",""
"1288935505","1046950925","1","1","2015",""
"536722517","2084823741","1","1","1984",""
"347205832","1617082329","1","0.5","2000",""
"1189288069","2067945316","1","0.93","1997",""
"1186291402","1064550247","1","0.85","2008",""
"1111407817","1111407817","1","1","1993",""
"98249156","98249156","1","1","1999",""
"635976514","1119384058","1","0.8","2008",""
"1401433472","1522734120","1","1","2013",""
"322019837","1119515133","1","1","1996",""
"103045485","43218745","1","0.833","2013",""
"13396078","1926280794","1","0.1","2008",""
"1308926593","1206149232","1","0.976","2015",""
"75919755","802864714","1","1","1982",""
"85666777","389782756","1","1","2014",""
"1144978671","1908943608","1","0.045","2009",""
"1427434750","1223420882","1","1","2001",""
"389455082","389455082","0","1","1999",""
"158775978","1505659080","1","0.02","1986",""
"996341378","1505659080","1","0.006","1986",""
"826415043","1505659080","1","0.006","1986",""
"389389545","389389545","1","1","1991",""
"440491453","1223355349","1","0.51","2015",""
"251539863","342663047","1","0.163","1992",""
"652584234","342663047","1","0.113","1992",""
"629645692","820070832","1","0.3","2015",""
"1344673925","820136368","1","1","2011",""
"216852611","229523901","1","0.5","2013",""
"1073939106","1739779032","1","0.17","2015",""
"482040891","1392585462","1","0.536","2015",""
"256945463","2142932484","1","0.9","2006",""
"601352156","173826160","1","0.95","2009",""
"1464974029","1673326207","1","0.054","2014",""
"1022257167","1316899235","1","0.6","2001",""
"670261362","670261362","1","1","2003",""
"185534942","1833519528","1","0.999","2003",""
"731816542","1654878713","1","1","1992",""
"307620545","267238981","1","1","2015",""
"670654580","670654580","1","1","1990",""
"268888770","623731490","1","0.5","2010",""
"242037577","623731490","1","0.5","2010",""
"278289242","878026638","1","0.053","2002",""
"302019740","641003132","1","0.558","2011",""
"537115849","2040760518","1","0.1","2011",""
"218467021","1281769910","1","1","1989",""
"792491412","1607306757","1","0.8","1998",""
"282829538","361799571","1","0.9","1993",""
"157280745","764953026","1","0.52","2010",""
"626100914","362192786","1","0.08","2014",""
"18403018","765018561","1","1","1980",""
"1246202775","41288350","1","0.01","2013",""
"539170658","1185082327","1","0.015","2010",""
"1015747760","784417212","1","1","1993",""
"85473916","1137503870","1","1","1982",""
"1427041532","1544390854","1","0.35","2010",""
"1037050615","1614413155","1","0.51","2014",""
"1146989673","1873722955","1","0.33","2012",""
"837495544","837495544","1","0.22","2002",""
"220421468","681141015","1","1","2000",""
"896043531","2000294945","1","0.8","1995",""
"1028604870","145128992","1","0.5","2014",""
"1422741733","97878217","1","0.714","1998",""
"12541287","1064659054","1","0.9","2004",""
"829316444","98205899","1","0.6","1985",""
"75919755","1711147399","1","0.7","2012",""
"86973762","2067050070","1","0.3","2010",""
"769405238","679236004","1","0.7","2011",""
"1275556683","483956625","1","1","2015",""
"500467802","1693810206","1","0.35","2011",""
"717172747","1035269751","1","1","2014",""
"207016150","80278887","1","0.12","1993",""
"141748581","1035531897","1","0.5","2003",""
"529466076","1485280776","1","0","2005",""
"1442742177","1082323929","1","1","2006",""
"1318149605","32335981","1","0.143","2014",""
"764953591","436013719","1","0.185","1993",""
"915395567","727178899","1","0.8","1993",""
"1323915288","2002032136","1","0.85","2007",""
"927686276","1982699009","1","0.9","2014",""
"746512024","746512024","1","1","2000",""
"1081218914","932383390","1","1","2014",""
"245926508","529623156","1","0.86","2008",""
"30491299","950048256","1","0.045","1997",""
"783625441","2112519991","1","0.27","2014",""
"911254496","1709366536","1","0.66","2010",""
"1146989673","2065596897","1","0.51","2006",""
"533442927","949786108","1","0.894","2001",""
"218490941","616166761","1","0.2","1998",""
"1062990804","1062990804","1","1","1993",""
"501097200","2069504765","1","0.5","2009",""
"86973762","2069111547","1","0.5","2013",""
"1117431976","1665695947","1","0.99","2013",""
"1043723225","1262673554","1","0.014","2010",""
"116325668","1262673554","1","0.214","2010",""
"307555008","1262673554","1","0.029","2010",""
"1456157176","1262673554","1","0.079","2010",""
"886612480","2068980464","1","0.6","2013",""
"1075891199","2088444662","1","0.5","2014",""
"106072851","1732607525","1","1","2014",""
"522557334","522557334","1","1","1989",""
"175321033","2088837882","1","0.833","2005",""
"613804322","1446811135","1","0.025","2007",""
"66882059","1446942207","1","0.022","1998",""
"536722517","1446942207","1","0.7","1998",""
"1424335290","1684963531","1","1","1994",""
"1133182930","569957647","1","0.05","1986",""
"587622509","587622509","0","0.204","1986",""
"1460559333","622296612","1","1","2014",""
"139606856","172088978","1","0.208","2015",""
"1290016052","533967207","1","0.01","2015",""
"1150535337","2052996981","1","0.9","2014",""
"811198724","130354995","1","0.85","2014",""
"1056821035","2052603760","1","0.5","2010",""
"1036591863","2099526867","1","0.9","2012",""
"584092765","147888794","1","0.1","2008",""
"642761720","550911188","1","0.7","2011",""
"498880154","498880154","1","1","1996",""
"1035073155","1067400404","1","0.4","2015",""
"607393303","518147738","1","0.05","2004",""
"644848284","644848284","1","1","1977",""
"1402538758","644848287","1","1","2013",""
"996341378","2083904003","1","0.15","1984",""
"280148980","1807778766","1","0.227","2009",""
"236471370","114732140","1","1","2014",""
"1164851152","1164851152","1","1","1987",""
"635976514","1161075352","1","0.25","2015",""
"42651192","1971092530","1","0.9","2010",""
"559598590","1164654547","1","0.32","1997",""
"770322388","401232787","1","0.1","2002",""
"1427500287","1567873536","1","0.5","2008",""
"731816515","1160944292","1","1","2015",""
"1407998643","1517305724","1","0.6","2000",""
"66805154","1567611382","1","1","2005",""
"260386246","1581959216","1","1","2013",""
"1418351306","1147186282","1","0.51","2015",""
"1178674690","1178674690","1","1","1992",""
"867279290","1581434930","1","0.2","2015",""
"933530937","31178890","1","1","2003",""
"1147448424","1147448424","1","1","1985",""
"605874053","31309967","1","0.4","2014",""
"540267559","1953493184","1","1","2014",""
"631155819","631155819","1","1","1997",""
"631024747","631024747","1","1","1997",""
"6635673","1437724876","1","0.011","2001",""
"421301875","484982642","1","1","2008",""
"746380957","1034571410","1","0.445","2011",""
"576467153","484654973","1","1","2014",""
"1457189067","1457189067","1","1","1967",""
"458096492","2031471320","1","0.8","2015",""
"206536315","2031471320","1","0.2","2015",""
"1462489658","2008437653","1","1","1994",""
"428317930","2008372115","1","0.192","2015",""
"1337947689","1153709348","1","0.2","2014",""
"1427434750","459559832","1","0.006","1990",""
"1438419803","459559832","1","0.048","1990",""
"809279798","459690904","1","0.09","2015",""
"813011522","1509612034","1","1","2009",""
"69229402","459232158","1","0","1984",""
"1070214466","1173803524","1","1","2013",""
"114323855","817573162","1","0.5","2014",""
"824586404","1932925193","1","1","2015",""
"104666383","748510773","1","0.192","1993",""
"1418457293","1555538579","1","0.2","2002",""
"732046267","748969526","1","1","1974",""
"802537025","392804702","1","0.9","2004",""
"636706008","817376558","1","1","2011",""
"421301875","817311011","1","1","2008",""
"515226550","1173213691","1","0.75","2011",""
"1049469990","6988441","1","0.517","2007",""
"618206673","639846047","1","0.2","2015",""
"1413128405","283812294","1","0.9","1997",""
"500081020","1329456886","1","0.3","2015",""
"1337363936","659375773","1","0","1992",""
"422373706","1822306258","1","0.05","2014",""
"393532032","1869032745","1","0.6","2015",""
"1376083362","503292576","1","0.2","1995",""
"1461417294","213278265","1","0.015","2009",""
"1426975998","260463505","1","0.625","2001",""
"1402211084","1423131842","1","0.49","2013",""
"704625621","142755489","1","0.34","2014",""
"688199390","1691567775","1","0.5","2002",""
"1047729687","528964968","1","0.333","2014",""
"1070159325","1440403495","1","0.213","2002",""
"235833481","1691567779","1","0.2","2013",""
"1037315576","1037315576","1","1","1993",""
"1204114915","1037381113","1","0.2","2004",""
"1264230613","277538548","1","0","1996",""
"498890035","2094983375","1","0.039","1997",""
"895377292","2094983375","1","0.016","1997",""
"574303972","2094983375","1","0.02","1997",""
"1039001758","1335665087","1","0.1","2007",""
"227141825","1037118981","1","0.9","2003",""
"305516040","819306948","1","0.443","2014",""
"919697077","772449396","1","0.8","2012",""
"1175209633","1175209633","1","1","1999",""
"842161500","772318312","1","0.99","2015",""
"260386246","1909773020","1","1","2012",""
"520856874","838705605","1","1","2015",""
"1050648956","1890374354","1","0.043","1998",""
"1429750532","1463597410","1","0.35","2015",""
"466902145","1265285944","1","0.016","2015",""
"1221483257","1819827771","1","1","2015",""
"342080570","301191214","1","1","2015",""
"966182274","102093320","1","0.51","2006",""
"1034639774","102158856","1","0.9","2002",""
"13524316","861935885","1","0.8","2008",""
"812683841","300863529","1","1","2015",""
"913072532","1884415734","1","0.75","2014",""
"640872061","271015484","1","1","2011",""
"504716025","1247948761","1","0.5","2014",""
"488171730","488171730","1","1","1998",""
"383337616","1650774535","1","1","2011",""
"85149345","85149345","1","1","1985",""
"268888770","229304548","1","1","2010",""
"141540437","139145359","1","1","2002",""
"945714351","1785981156","1","0.564","2013",""
"418048656","659345265","1","0.333","2002",""
"1422610661","269114070","1","1","1993",""
"1188047877","1030142022","1","0.15","2012",""
"784744894","993221918","1","1","1996",""
"156248524","1794631811","1","0.2","2015",""
"965255906","965255906","1","1","1989",""
"895377292","945637306","1","0.1","2011",""
"1067193906","908901461","1","1","2012",""
"508869655","2103539022","1","1","2014",""
"12806252","505694111","1","0.25","2006",""
"1463400801","2101376307","1","1","2005",""
"1435532335","552671074","1","0.4","2012",""
"911247594","166008472","1","1","2010",""
"448438679","2111432964","1","0.5","2013",""
"889437137","889437137","1","1","1996",""
"1386372514","1386372514","1","1","1993",""
"952279646","952279646","1","1","1989",""
"1015608956","1798957319","1","0.1","2012",""
"799693943","1343267422","1","0.1","2009",""
"242037577","250252113","1","0.5","2010",""
"268888770","250252113","1","0.5","2010",""
"145085188","1334616643","1","0.5","1995",""
"878129260","540267136","1","1","2015",""
"213343798","654942747","1","0.192","1993",""
"680498504","578593347","1","1","2014",""
"1262580159","600828194","1","0","1994",""
"237776229","2116592195","1","1","2013",""
"1156491423","645642372","1","0.589","2004",""
"1436554775","1719116452","1","0.531","2010",""
"392739168","670158670","1","0.95","2012",""
"235035996","235035996","1","1","1989",""
"1038429471","1830795396","1","0.5","2008",""
"1157657907","1377721692","1","1","2011",""
"1323915288","542352717","1","1","2009",""
"927686276","596502721","1","0.9","2014",""
"927686276","2124486463","1","0.9","2014",""
"259418035","1281831319","1","0.001","2008",""
"676082974","2104188715","1","1","2012",""
"317876148","1798957020","1","0.1","1999",""
"1312090987","664426958","1","0.8","2002",""
"229304187","229304187","1","1","2014",""
"966751438","1017088426","1","0.97","2010",""
"1053839004","232950186","1","0.36","2015",""
"755641666","921955057","1","0.1","2009",""
"638397824","129869098","1","0.019","2014",""
"465299420","2100827932","1","0.5","2006",""
"254446355","254446355","1","1","2003",""
"543299610","2087851901","1","0.043","2015",""
"636566342","640536336","1","1","2002",""
"1384502942","1002498179","1","1","2015",""
"277017367","1342642045","1","0.8","2014",""
"751510452","193468285","1","0.5","2000",""
"881583995","1840828203","1","0.4","2012",""
"1258922147","2126750407","1","0.3","2015",""
"28598156","939434695","1","0.6","2011",""
"1208019503","1016308119","1","0.51","2005",""
"906422761","633214514","1","0.01","2014",""
"467462275","662056188","1","0","1998",""
"1188339925","1058852651","1","0.2","2010",""
"5569778","209816269","1","0.6","2014",""
"322019837","1714922183","1","1","1990",""
"817311023","1410864593","1","0.952","2006",""
"882528972","2102806528","1","1","2009",""
"1157230203","917653504","1","0.86","2003",""
"882556156","1434624310","1","1","2014",""
"1427434750","181248808","1","1","1996",""
"1419679332","557020564","1","0.4","2006",""
"1304601217","1701868948","1","1","2005",""
"680097005","1811230150","1","1","2011",""
"888775098","1410108311","1","1","1986",""
"166670351","1416673579","1","1","2014",""
"617336623","1287770779","1","0.6","2006",""
"9812918","250305273","1","1","2015",""
"615734294","929950026","1","0.8","1998",""
"649187247","672869760","1","0.9","2013",""
"118577808","1022039734","1","0.1","2004",""
"258885632","529584768","1","1","2009",""
"1384502942","1667867981","1","1","2014",""
